age,workclass,education-num,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,us-native,income
47,Self-emp-inc,9,Divorced,Exec-managerial,White,Male,0,0,60,1,0
43,Private,10,Married-civ-spouse,Tech-support,White,Male,0,0,40,1,1
46,Private,3,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,0,0
35,Private,11,Married-civ-spouse,Other-service,White,Male,0,0,40,0,0
41,Private,9,Married-civ-spouse,Adm-clerical,White,Male,0,0,48,1,0
30,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,5013,0,40,1,0
30,Private,13,Married-civ-spouse,Sales,White,Male,2407,0,40,1,0
48,Private,9,Married-civ-spouse,Transport-moving,White,Male,0,0,40,1,0
42,Private,16,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,1,1
29,Private,10,Divorced,Tech-support,White,Male,0,0,58,1,0
36,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,1,0
28,Private,10,Divorced,Adm-clerical,White,Female,0,0,40,1,0
53,Private,9,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,1,1
49,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,1,1
19,Private,10,Never-married,Prof-specialty,White,Male,0,0,32,1,0
31,Private,13,Separated,Sales,Black,Female,0,0,40,1,0
29,Self-emp-not-inc,13,Married-civ-spouse,Sales,White,Male,0,0,70,1,1
23,Private,10,Never-married,Machine-op-inspct,White,Male,0,0,40,1,0
79,Private,10,Married-civ-spouse,Prof-specialty,White,Male,0,0,20,1,0
27,Private,9,Never-married,Other-service,White,Male,0,0,40,0,0
40,Private,12,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,1,0
18,Private,7,Never-married,Other-service,White,Female,0,0,22,1,0
31,Local-gov,4,Married-civ-spouse,Farming-fishing,White,Male,0,0,40,1,0
18,Private,9,Never-married,Sales,White,Male,0,0,30,1,0
52,Private,13,Married-civ-spouse,Other-service,White,Male,0,0,40,0,0
46,Private,9,Married-civ-spouse,Other-service,White,Female,0,0,40,1,0
59,Private,9,Married-civ-spouse,Sales,White,Male,0,0,48,1,0
44,Private,9,Divorced,Craft-repair,White,Female,14344,0,40,1,1
53,Private,9,Divorced,Sales,White,Female,0,0,35,1,0
49,Local-gov,9,Married-civ-spouse,Protective-serv,White,Male,0,0,40,1,1
33,Private,14,Married-civ-spouse,Prof-specialty,White,Male,0,0,50,1,0
30,Private,5,Never-married,Sales,White,Male,0,0,40,1,0
43,Federal-gov,16,Never-married,Prof-specialty,White,Female,0,0,50,1,1
57,Private,11,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,1,0
37,Private,10,Divorced,Craft-repair,White,Female,0,0,40,1,0
28,Private,10,Divorced,Machine-op-inspct,Black,Female,0,0,25,1,0
34,Local-gov,13,Married-civ-spouse,Protective-serv,White,Male,0,0,40,1,1
29,Local-gov,10,Never-married,Handlers-cleaners,White,Male,0,0,50,1,0
48,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,White,Male,0,1902,60,1,1
37,Private,10,Married-civ-spouse,Sales,White,Male,0,0,48,1,1
48,Private,12,Divorced,Exec-managerial,White,Female,0,0,40,0,0
32,Federal-gov,9,Never-married,Other-service,Black,Male,0,0,40,1,0
76,Private,14,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,1,1
44,Private,13,Married-civ-spouse,Exec-managerial,White,Male,15024,0,60,1,1
47,Self-emp-not-inc,14,Never-married,Prof-specialty,White,Female,0,0,50,1,0
20,Private,10,Never-married,Tech-support,White,Female,0,0,40,1,0
29,Private,9,Never-married,Craft-repair,White,Male,0,0,40,1,0
32,Self-emp-inc,9,Married-civ-spouse,Craft-repair,White,Male,7688,0,40,1,1
30,Private,7,Never-married,Handlers-cleaners,White,Male,0,0,40,1,0
31,Local-gov,9,Never-married,Adm-clerical,White,Female,0,0,40,1,0
42,Private,9,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,1,0
24,Private,13,Never-married,Sales,White,Male,0,0,40,1,0
38,Private,15,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,1,1
56,Self-emp-not-inc,9,Married-civ-spouse,Other-service,White,Male,0,1887,50,0,1
28,Private,10,Married-civ-spouse,Sales,White,Female,4064,0,25,1,0
36,Private,9,Never-married,Machine-op-inspct,White,Female,0,0,40,1,0
53,Private,5,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,50,1,0
56,Self-emp-inc,10,Married-civ-spouse,Sales,White,Male,0,0,50,1,0
49,Local-gov,11,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,1,1
55,Private,10,Married-civ-spouse,Sales,White,Male,0,0,56,1,0
22,Private,9,Never-married,Craft-repair,White,Male,0,0,41,1,0
21,Private,10,Never-married,Other-service,White,Female,0,0,40,1,0
40,Private,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,60,1,0
30,Private,13,Never-married,Exec-managerial,Black,Male,0,0,40,0,0
29,State-gov,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,50,1,1
19,Private,10,Never-married,Other-service,Black,Male,0,0,35,1,0
47,Private,13,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,1,1
20,Private,10,Never-married,Adm-clerical,White,Female,0,1719,28,1,0
31,Private,12,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,1,1
39,Private,10,Divorced,Craft-repair,White,Male,0,0,40,1,0
28,Private,12,Never-married,Sales,White,Female,0,0,60,1,0
24,Private,9,Never-married,Other-service,White,Female,0,1762,40,1,0
38,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,4386,0,35,1,0
37,Private,13,Married-civ-spouse,Sales,White,Male,0,0,50,1,0
46,Private,12,Divorced,Tech-support,Black,Female,0,0,36,1,0
38,Federal-gov,14,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,0,1
43,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,0,0,60,1,0
27,Private,11,Married-civ-spouse,Adm-clerical,White,Female,0,0,35,1,0
20,Private,10,Never-married,Sales,White,Male,0,0,20,1,0
49,Private,10,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,1,1
61,Self-emp-inc,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,1,0
27,Private,10,Never-married,Sales,White,Female,0,0,40,1,0
19,Private,10,Never-married,Other-service,White,Male,0,0,30,0,0
45,Private,11,Never-married,Prof-specialty,White,Female,0,1564,40,1,1
70,Private,10,Never-married,Tech-support,White,Male,0,0,40,1,0
31,Private,9,Never-married,Transport-moving,Black,Female,0,0,30,1,0
22,Private,10,Married-civ-spouse,Other-service,White,Male,0,0,24,1,0
36,Private,9,Widowed,Other-service,White,Female,0,0,24,1,0
64,Private,7,Married-civ-spouse,Craft-repair,White,Male,0,2179,40,1,0
47,Local-gov,10,Divorced,Adm-clerical,White,Female,0,0,38,0,0
34,Private,9,Never-married,Adm-clerical,White,Female,0,0,40,1,0
33,Private,13,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,0,0
21,Private,9,Never-married,Craft-repair,White,Male,0,0,35,1,0
48,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,0,46,1,0
23,Private,13,Never-married,Handlers-cleaners,White,Male,0,0,40,1,0
71,Self-emp-not-inc,10,Separated,Sales,Black,Male,0,1816,2,1,0
29,Private,9,Divorced,Craft-repair,White,Male,0,0,60,1,0
42,Private,13,Separated,Other-service,Black,Male,0,0,50,1,0
25,Private,9,Never-married,Other-service,White,Female,0,0,40,1,0
44,Self-emp-inc,14,Divorced,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,1,0
28,Private,9,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,0,0
45,Self-emp-not-inc,14,Married-civ-spouse,Sales,White,Male,0,0,40,1,1
36,Private,10,Divorced,Other-service,White,Female,0,0,40,0,0
39,Federal-gov,12,Never-married,Exec-managerial,White,Male,0,0,42,1,0
46,State-gov,14,Widowed,Protective-serv,White,Male,0,0,40,1,0
18,Private,7,Never-married,Handlers-cleaners,White,Male,0,0,16,1,0
66,Local-gov,11,Widowed,Prof-specialty,White,Female,0,0,20,1,0
27,Private,9,Never-married,Other-service,White,Male,0,1980,40,1,0
28,State-gov,9,Married-civ-spouse,Protective-serv,White,Male,0,0,40,1,0
51,Private,10,Married-civ-spouse,Sales,White,Male,0,1977,40,1,1
27,Private,13,Never-married,Craft-repair,White,Male,0,0,50,1,0
28,State-gov,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,1,1
27,Private,9,Married-spouse-absent,Sales,White,Female,0,0,25,1,0
21,Private,9,Never-married,Craft-repair,Black,Male,0,0,40,1,0
34,Private,9,Never-married,Handlers-cleaners,Black,Male,0,0,40,1,0
18,Private,9,Never-married,Other-service,White,Male,0,0,12,1,0
33,Private,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,65,1,0
44,Local-gov,10,Married-civ-spouse,Exec-managerial,Black,Male,0,0,38,1,1
43,Private,10,Divorced,Adm-clerical,White,Female,0,0,40,1,0
30,Private,10,Never-married,Craft-repair,Black,Male,0,0,45,1,0
40,Private,4,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,0,1
37,Federal-gov,10,Married-civ-spouse,Adm-clerical,White,Male,0,0,42,1,1
34,Private,9,Married-civ-spouse,Adm-clerical,Black,Male,0,0,40,1,0
41,Self-emp-not-inc,13,Divorced,Exec-managerial,White,Female,0,0,40,1,0
31,Private,14,Married-civ-spouse,Prof-specialty,White,Female,0,0,50,1,0
58,State-gov,16,Married-civ-spouse,Prof-specialty,White,Male,0,0,1,1,1
38,Private,10,Divorced,Machine-op-inspct,Black,Female,0,0,28,1,0
24,Private,10,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,1,0
41,Local-gov,13,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,1,0
47,Private,10,Married-civ-spouse,Tech-support,White,Male,0,0,45,1,0
41,Federal-gov,13,Married-civ-spouse,Tech-support,White,Male,0,0,24,1,0
23,Private,3,Married-civ-spouse,Transport-moving,White,Male,0,0,40,0,0
36,Private,10,Divorced,Craft-repair,White,Male,0,0,40,1,0
40,Federal-gov,14,Never-married,Exec-managerial,White,Female,14084,0,55,1,1
35,Private,14,Married-civ-spouse,Prof-specialty,White,Male,7298,0,40,1,1
24,Self-emp-not-inc,9,Never-married,Sales,White,Male,0,0,40,1,0
26,Private,14,Never-married,Prof-specialty,White,Female,0,1876,40,1,0
51,Private,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,1,1
42,Local-gov,10,Never-married,Prof-specialty,White,Female,0,1340,40,1,0
37,State-gov,9,Divorced,Adm-clerical,White,Female,0,0,35,1,0
18,Private,7,Never-married,Sales,White,Female,0,0,40,1,0
36,Private,13,Married-civ-spouse,Other-service,Black,Male,7298,0,36,1,1
35,Private,9,Divorced,Craft-repair,White,Male,0,0,60,1,0
58,Self-emp-inc,9,Married-civ-spouse,Sales,White,Female,15024,0,35,1,1
17,Private,7,Never-married,Sales,White,Female,0,0,12,1,0
44,Local-gov,9,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,1,0
37,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,1,1
35,Private,10,Never-married,Sales,Amer-Indian-Eskimo,Female,0,0,40,1,0
60,Private,9,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,1,0
54,Self-emp-inc,4,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,1,1
37,Private,13,Never-married,Exec-managerial,Black,Male,0,0,60,1,1
50,Private,12,Divorced,Sales,White,Female,0,0,40,1,0
38,Private,13,Married-civ-spouse,Sales,White,Male,0,0,50,0,0
45,Private,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,55,1,0
25,Private,6,Never-married,Craft-repair,White,Male,0,0,40,1,0
31,Private,10,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,1,0
90,Private,9,Never-married,Other-service,Black,Male,0,2206,40,1,0
54,Private,9,Married-civ-spouse,Adm-clerical,Black,Male,0,0,20,1,0
53,Local-gov,1,Never-married,Machine-op-inspct,White,Female,0,0,35,1,0
18,Private,9,Never-married,Sales,White,Female,0,0,40,1,0
66,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,White,Male,1409,0,50,1,0
75,Private,11,Widowed,Adm-clerical,White,Female,0,0,20,0,0
65,Private,9,Divorced,Adm-clerical,White,Female,0,0,40,1,0
35,Private,7,Separated,Transport-moving,Black,Male,3674,0,40,1,0
41,Private,9,Divorced,Sales,Black,Female,0,0,38,1,0
25,Private,10,Never-married,Adm-clerical,White,Male,0,0,42,1,0
33,Private,10,Divorced,Craft-repair,Other,Female,0,0,40,1,0
28,Private,15,Never-married,Prof-specialty,White,Male,0,0,55,1,1
59,State-gov,9,Married-civ-spouse,Other-service,White,Male,0,0,40,1,0
40,State-gov,10,Never-married,Adm-clerical,White,Female,0,0,38,1,0
41,Private,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,0,1
38,Local-gov,14,Married-civ-spouse,Exec-managerial,White,Male,0,0,70,1,1
23,Private,9,Never-married,Transport-moving,White,Male,0,0,40,1,0
40,Private,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,1,1
41,Self-emp-not-inc,9,Married-civ-spouse,Other-service,White,Female,0,0,20,1,0
24,State-gov,12,Married-civ-spouse,Protective-serv,White,Male,0,0,50,1,0
38,Private,10,Divorced,Craft-repair,White,Male,0,1741,40,1,0
58,Private,9,Married-civ-spouse,Adm-clerical,White,Male,0,0,45,1,1
32,Private,9,Never-married,Other-service,White,Female,0,0,34,1,0
40,Private,12,Married-civ-spouse,Tech-support,White,Male,0,1977,60,1,1
41,Private,15,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,1,1
42,Private,13,Married-civ-spouse,Adm-clerical,Black,Female,0,0,40,1,0
59,Local-gov,6,Widowed,Other-service,Black,Female,0,0,30,1,0
19,Local-gov,10,Never-married,Adm-clerical,White,Male,0,0,40,1,0
58,Private,10,Never-married,Transport-moving,White,Male,0,0,20,1,0
42,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,0,0,40,0,1
20,Private,9,Never-married,Other-service,White,Female,0,0,40,1,0
32,Private,9,Separated,Other-service,White,Female,0,0,30,1,0
45,Private,11,Widowed,Exec-managerial,White,Female,0,0,45,1,0
50,Private,4,Divorced,Craft-repair,White,Male,0,0,40,1,0
36,Private,13,Divorced,Prof-specialty,White,Female,0,0,40,1,0
45,Private,9,Married-civ-spouse,Sales,White,Male,0,0,60,1,0
17,Private,7,Never-married,Other-service,White,Male,0,0,12,1,0
59,Private,10,Married-civ-spouse,Sales,White,Male,4064,0,40,1,0
26,Private,7,Married-civ-spouse,Craft-repair,White,Male,0,0,40,1,0
37,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,0,0,75,0,1
64,Private,9,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,1,1
33,Private,13,Never-married,Prof-specialty,White,Female,0,0,45,1,0
33,Private,9,Married-civ-spouse,Craft-repair,White,Female,0,0,40,1,1
61,Private,9,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,1,1
17,Private,5,Never-married,Other-service,White,Male,1055,0,24,1,0
50,Self-emp-not-inc,14,Married-civ-spouse,Farming-fishing,White,Male,2407,0,98,1,0
27,Local-gov,14,Never-married,Prof-specialty,White,Male,0,0,35,1,0
30,Private,9,Divorced,Prof-specialty,White,Female,0,0,40,1,0
43,Private,9,Married-civ-spouse,Handlers-cleaners,Black,Male,0,0,40,1,0
44,Private,10,Married-civ-spouse,Craft-repair,White,Male,7298,0,40,1,1
35,Private,10,Never-married,Exec-managerial,White,Female,0,0,40,1,0
25,Private,10,Never-married,Tech-support,White,Female,0,0,40,1,0
24,Private,10,Married-civ-spouse,Machine-op-inspct,White,Female,7298,0,48,1,1
22,Private,13,Never-married,Prof-specialty,White,Female,0,0,15,0,0
42,Local-gov,10,Married-civ-spouse,Craft-repair,White,Male,5178,0,40,1,1
34,Private,12,Divorced,Sales,Black,Female,0,0,45,1,0
60,Private,13,Divorced,Prof-specialty,White,Female,0,0,42,1,0
21,Private,9,Never-married,Handlers-cleaners,White,Male,0,0,40,1,0
57,Federal-gov,14,Married-civ-spouse,Sales,White,Male,15024,0,40,1,1
41,Private,15,Married-civ-spouse,Prof-specialty,White,Male,0,0,60,1,1
50,Private,10,Divorced,Other-service,White,Male,0,0,45,1,0
25,Private,13,Never-married,Exec-managerial,White,Female,0,0,40,1,0
50,Private,4,Married-civ-spouse,Craft-repair,White,Male,0,0,40,0,0
36,Private,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,1,0
31,Private,9,Divorced,Prof-specialty,White,Female,0,0,40,1,0
29,Local-gov,13,Never-married,Protective-serv,White,Male,0,0,56,1,0
21,Private,10,Never-married,Sales,White,Male,0,0,45,1,0
27,Private,13,Never-married,Tech-support,Black,Female,0,0,40,1,0
65,Private,9,Married-civ-spouse,Transport-moving,White,Male,0,0,16,1,0
37,Self-emp-inc,13,Divorced,Sales,White,Female,0,0,60,1,0
24,Private,9,Never-married,Craft-repair,White,Male,0,0,40,1,0
38,Private,9,Divorced,Sales,White,Male,0,0,80,1,0
48,Private,13,Married-civ-spouse,Adm-clerical,White,Male,7688,0,40,1,1
21,Private,10,Never-married,Other-service,Asian-Pac-Islander,Female,0,0,25,1,0
31,Private,9,Married-civ-spouse,Transport-moving,White,Male,0,0,45,1,1
55,Private,9,Married-civ-spouse,Sales,White,Male,4386,0,40,1,1
24,Private,10,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,0,0,40,0,0
43,Private,9,Divorced,Adm-clerical,White,Female,0,0,40,1,0
26,Private,12,Never-married,Tech-support,White,Male,0,0,45,1,0
46,Private,12,Never-married,Prof-specialty,White,Female,0,0,33,1,0
35,Private,12,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,1,1
41,Self-emp-inc,10,Married-civ-spouse,Farming-fishing,White,Male,0,0,54,1,1
26,Private,13,Never-married,Sales,White,Male,0,0,40,1,0
34,Private,14,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,7298,0,35,0,1
36,Self-emp-not-inc,13,Divorced,Prof-specialty,Black,Female,0,0,40,1,1
22,Private,10,Never-married,Sales,White,Male,0,0,15,1,0
24,Private,10,Never-married,Machine-op-inspct,White,Male,0,0,40,1,0
77,Self-emp-not-inc,10,Married-civ-spouse,Sales,White,Male,0,0,40,1,0
22,Private,3,Married-civ-spouse,Machine-op-inspct,White,Female,0,0,40,0,0
29,Private,10,Never-married,Tech-support,White,Female,0,0,40,1,0
62,Private,9,Widowed,Other-service,White,Female,0,0,24,1,0
39,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,1,0
43,Private,10,Married-civ-spouse,Craft-repair,White,Male,0,1485,50,1,0
35,Private,9,Divorced,Transport-moving,White,Male,0,0,45,1,0
29,Private,7,Never-married,Exec-managerial,White,Female,0,0,40,1,0
76,Self-emp-not-inc,14,Married-civ-spouse,Craft-repair,White,Male,0,0,10,1,0
63,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,White,Male,0,0,45,1,0
43,Private,10,Married-civ-spouse,Prof-specialty,White,Female,0,1887,50,1,1
58,Self-emp-not-inc,9,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,1,0
66,Private,9,Never-married,Transport-moving,White,Male,2050,0,55,1,0
41,Private,10,Never-married,Craft-repair,Black,Male,0,0,45,1,0
26,Private,13,Never-married,Adm-clerical,White,Male,0,0,40,1,0
47,Private,11,Never-married,Other-service,White,Male,0,0,40,1,0
55,Local-gov,6,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,1,0
53,Private,9,Married-civ-spouse,Transport-moving,White,Male,0,0,40,1,0
17,Private,3,Never-married,Other-service,White,Male,0,0,48,0,0
30,Private,9,Never-married,Craft-repair,White,Male,0,0,40,1,0
49,Private,14,Never-married,Prof-specialty,White,Male,0,0,60,1,0
19,Private,9,Never-married,Sales,Black,Male,0,0,30,0,0
45,Private,9,Married-civ-spouse,Other-service,Black,Male,0,0,40,1,0
26,Private,12,Never-married,Sales,White,Male,0,0,40,1,0
38,Private,11,Married-civ-spouse,Craft-repair,White,Male,7298,0,40,1,1
36,State-gov,9,Married-civ-spouse,Protective-serv,White,Male,7298,0,40,1,1
33,Private,9,Never-married,Farming-fishing,White,Male,0,0,20,1,0
22,State-gov,10,Never-married,Protective-serv,Black,Female,0,0,40,1,0
43,Self-emp-not-inc,13,Never-married,Sales,White,Male,0,0,42,1,0
56,Private,12,Married-spouse-absent,Other-service,White,Male,0,0,25,0,0
31,Private,13,Never-married,Prof-specialty,White,Male,0,0,25,1,0
33,Private,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,1,1
26,Private,9,Married-civ-spouse,Other-service,White,Male,0,0,40,1,0
33,Private,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,1,1
46,Local-gov,7,Married-civ-spouse,Transport-moving,White,Male,0,0,30,1,0
38,Federal-gov,9,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,1,1
65,Private,7,Widowed,Other-service,Other,Male,0,0,40,1,0
40,Private,11,Married-civ-spouse,Tech-support,White,Male,0,0,40,1,1
42,Private,9,Married-civ-spouse,Adm-clerical,White,Female,0,0,35,1,0
26,Self-emp-not-inc,5,Married-civ-spouse,Craft-repair,White,Male,0,0,40,0,0
36,Private,6,Married-civ-spouse,Other-service,White,Female,0,0,24,1,0
62,Private,14,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,1,1
43,Private,13,Married-civ-spouse,Transport-moving,White,Male,0,0,45,1,0
43,Private,13,Divorced,Exec-managerial,White,Male,0,1564,45,1,1
22,Private,9,Married-spouse-absent,Sales,White,Male,0,0,55,1,0
28,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,1,0
56,Self-emp-not-inc,10,Married-civ-spouse,Sales,White,Male,0,0,45,1,0
22,Private,12,Never-married,Sales,White,Female,0,0,15,1,0
57,Private,13,Divorced,Exec-managerial,White,Female,0,0,45,1,1
39,Private,9,Divorced,Sales,White,Female,0,0,40,1,0
26,Federal-gov,10,Never-married,Adm-clerical,White,Female,0,0,15,1,0
17,Private,7,Never-married,Other-service,White,Male,0,0,10,1,0
40,State-gov,11,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,38,1,1
45,Private,9,Married-civ-spouse,Machine-op-inspct,Black,Male,0,0,40,1,0
44,Private,9,Never-married,Craft-repair,Black,Male,0,0,40,1,0
20,Local-gov,10,Never-married,Adm-clerical,White,Female,0,0,10,1,0
33,Private,9,Married-civ-spouse,Craft-repair,White,Female,0,0,40,1,0
23,Private,10,Never-married,Sales,White,Male,0,0,40,1,0
46,Self-emp-not-inc,14,Divorced,Exec-managerial,White,Male,0,0,30,1,0
38,Private,9,Married-civ-spouse,Sales,White,Male,0,0,50,1,0
54,Private,9,Divorced,Transport-moving,White,Male,0,0,40,1,0
46,Private,3,Divorced,Craft-repair,White,Female,0,2339,45,1,0
25,Private,10,Married-civ-spouse,Craft-repair,White,Male,0,0,40,1,0
46,Private,10,Divorced,Sales,White,Female,0,0,40,1,0
36,Local-gov,10,Married-civ-spouse,Transport-moving,White,Female,0,0,40,1,0
23,Private,9,Never-married,Other-service,White,Female,0,0,25,1,0
29,Private,9,Separated,Machine-op-inspct,White,Male,0,0,40,1,0
44,Private,10,Married-civ-spouse,Adm-clerical,White,Female,0,2415,6,1,1
19,Private,10,Never-married,Adm-clerical,White,Female,0,0,16,1,0
